2000	 281,421,906.00 	 1,425,486.00 	 506.50 
2001	 285,317,559.00 	 1,439,480.00 	 504.50 
2002	 287,973,924.00 	 1,423,677.00 	 494.40 
2003	 290,788,976.00 	 1,383,676.00 	 475.80 
2004	 293,656,842.00 	 1,360,088.00 	 463.20 
2005	 296,507,061.00 	 1,390,745.00 	 469.00 
2006	 299,398,484.00 	 1,435,123.00 	 479.30 
2007	 301,621,157.00 	 1,422,970.00 	 471.80 
2008	 304,059,724.00 	 1,394,461.00 	 458.60 
2009	 307,006,550.00 	 1,325,896.00 	 431.90 
2010	 309,330,219.00 	 1,251,248.00 	 404.50 
2011	 311,587,816.00 	 1,206,005.00 	 387.10 
2012	 313,873,685.00 	 1,217,057.00 	 387.80 
2013	 316,497,531.00 	 1,168,298.00 	 369.10 
2014	 318,907,401.00 	 1,153,022.00 	 361.60 
2015	 320,896,618.00 	 1,199,310.00 	 373.70 
2016	 323,405,935.00 	 1,250,162.00 	 386.60 
2017	 325,147,121.00 	 1,247,917.00 	 383.80 
2018	 326,687,501.00 	 1,209,997.00 	 370.40 
2019	 328,239,523.00 	 1,203,808.00 	 366.70 
